ID	module	replace	replace with
461	3-negation	not would it	not
462	3-negation	not would he	not
463	3-negation	not would she	not
464	3-negation	not would they	not
465	3-negation	not would	not
466	3-negation	not yet	not
467	3-negation	not a	not
468	3-negation	not an	not
469	3-negation	not as	not
470	3-negation	not all	not
471	3-negation	not any*	not
472	3-negation	not are	not
473	3-negation	not at	not
474	3-negation	not be	not
475	3-negation	not been	not
476	3-negation	not become	not
477	3-negation	not before	not
478	3-negation	not being	not
479	3-negation	not can	not
480	3-negation	not could	not
481	3-negation	not did	not
482	3-negation	not do	not
483	3-negation	not does	not
484	3-negation	not doing	not
485	3-negation	not done	not
486	3-negation	not else	not
487	3-negation	not far	not
488	3-negation	not felt	not
489	3-negation	not found	not
490	3-negation	not further	not
491	3-negation	not fully	not
492	3-negation	not get*	not
493	3-negation	not giv*	not
494	3-negation	not go	not
495	3-negation	not xgood	not good
496	3-negation	not got	not
497	3-negation	not [anyword] well	not well
498	3-negation	not [anyword] responsib*	not responsible
499	4-dict	lie detector	xlie detector
500	4-dict	advance poll*	xadvance poll
501	4-dict	in advance	in xadvance
502	4-dict	against a back*	xagainst a backdrop
503	4-dict	against the back*	xagainst the backdrop
504	4-dict	balanc* that against	balance that xagainst
505	4-dict	balanc* them against	balance them xagainst
506	4-dict	compar* against	compare xagainst
507	4-dict	defen* against	defend xagainst
508	4-dict	fight back against	fight back xagainst
509	4-dict	for and against	for and xagainst
510	4-dict	fought back against	fought back xagainst
511	4-dict	game is against	game is xagainst
512	4-dict	game* against	game xagainst
513	4-dict	information against	information xagainst
514	4-dict	play against	play xagainst
515	4-dict	protect* against	protect xagainst
516	4-dict	run* against	run xagainst
517	4-dict	safeguard against	safeguard xagainst
518	4-dict	support against	support xagainst
519	4-dict	unite against	unite xagainst
520	4-dict	victory against	victory xagainst
521	4-dict	with us or against us	with us or xagainst us
522	4-dict	not for not against	not xfor not xagainst
523	4-dict	anti social	antisocial
524	4-dict	anti	anti x
525	4-dict	awful lot	xawful lot
526	4-dict	account balance*	account xbalance
527	4-dict	balanc* budget*	xbalance budget
528	4-dict	balanc* its books	xbalance its books
529	4-dict	balanc* its budget*	xbalance its budget
530	4-dict	balanc* the books	xbalance the books
531	4-dict	balanc* the budget*	xbalance the budget
532	4-dict	balanc* their books	xbalance their books
533	4-dict	balanc* their budget*	xbalance their budgets
534	4-dict	balanc* due	xbalance due
535	4-dict	balanc* of probabilit*	xbalance of probabilit
536	4-dict	balanc* ow*	xbalance owing
537	4-dict	balanc* sheet*	xbalance sheet
538	4-dict	check* and balanc*	check and xbalance
539	4-dict	debit balanc*	debit xbalance
540	4-dict	fiscal balanc*	fiscal xbalance
541	4-dict	hang* in the balance	hang in the xbalance
542	4-dict	hung in the balance	hung in the xbalance
543	4-dict	los* her balance	lose her xbalance
544	4-dict	los* his balance	lose his xbalance
545	4-dict	los* my balance	lose my xbalance
546	4-dict	on balance	on xbalance
547	4-dict	power balance	power xbalance
548	4-dict	strategic balance	strategic xbalance
549	4-dict	trade balanc*	trade xbalance
550	4-dict	barely any	barely
551	4-dict	barely	barely x
552	4-dict	at best	at xbest
553	4-dict	best shot	best xshot
554	4-dict	best known as	xbest known as
555	4-dict	better known as	xbetter known as
556	4-dict	better or not	xbetter or not
557	4-dict	better part of	xbetter part of
558	4-dict	better shot	better xshot
559	4-dict	know better	know xbetter
560	4-dict	peek a boo	peek a xboo
561	4-dict	break* through	breakthrough
562	4-dict	broad mind*	broadminded
563	4-dict	speed bumps	speed xbumps
564	4-dict	child care	child xcare
565	4-dict	day care	day xcare
566	4-dict	foster care	foster xcare
567	4-dict	geriatric care	geriatric xcare
568	4-dict	health care	health xcare
569	4-dict	home care	home xcare
570	4-dict	intensive care	intensive xcare
571	4-dict	longterm care	longterm xcare
572	4-dict	medical care	medical xcare
573	4-dict	palliative care	palliative xcare
574	4-dict	patient care	patient xcare
575	4-dict	private care	private xcare
576	4-dict	ceremonial dagger*	xceremonial dagger
577	4-dict	civil action	xcivil action
578	4-dict	civil suit	xcivil suit
579	4-dict	combat troops	xcombat troops
580	4-dict	confidence motion	xconfidence motion
581	4-dict	consumer confidence	consumer xconfidence
582	4-dict	matter* of confidence	matter of xconfidence
583	4-dict	vote* of confidence	vote of xconfidence
584	4-dict	los* confidence	lose xconfidence
585	4-dict	not confirm not deny	not xconfirm not xdeny
586	4-dict	guilty conscience	guilty xconscience
587	4-dict	age of consent	age of xconsent
588	4-dict	consent form*	xconsent form
589	4-dict	obtain* consent	obtain xconsent
590	4-dict	sexual consent*	sexual xconsent
591	4-dict	crawl space	xcrawl space
592	4-dict	pub crawl*	pub xcrawl
593	4-dict	los* credibility	lose xcredibility
594	4-dict	credit card*	xcredit card
595	4-dict	employment credit*	employment xcredit
596	4-dict	GST credit*	GST xcredit
597	4-dict	HST credit*	HST xcredit
598	4-dict	line* of credit*	line of xcredit
599	4-dict	tax credit*	tax xcredit
600	4-dict	cross* [anyword] line	cross the line
601	4-dict	crown prosecutor	xcrown prosecutor
602	4-dict	break down crude	break down xcrude
603	4-dict	crude oil*	xcrude oil
604	4-dict	crystal meth*	xcrystal meth
605	4-dict	cut* stress*	cut stress
606	4-dict	whole damn	xwhole damn
607	4-dict	pretty darn	pretty xdarn
608	4-dict	dead heat	xdead heat
609	4-dict	public defender*	public xdefender
610	4-dict	demon worship	demon xworship
611	4-dict	blue devil*	blue xdevil
612	4-dict	tax eliminat*	tax xelimination
613	4-dict	emergency crew*	xemergency crew
614	4-dict	emergency department*	xemergency department
615	4-dict	emergency doctor*	xemergency doctor
616	4-dict	emergency management	xemergency management
617	4-dict	emergency personnel	xemergency personnel
618	4-dict	emergency physician*	xemergency physician
619	4-dict	emergency plan*	xemergency plan
620	4-dict	emergency preparedness	xemergency preparedness
621	4-dict	emergency respon*	xemergency respon
622	4-dict	emergency room*	xemergency room
623	4-dict	emergency service*	xemergency service
624	4-dict	emergency ward*	xemergency ward
625	4-dict	emergency worker*	xemergency worker
626	4-dict	enrich* machines	xenrich machines
627	4-dict	enrich* of uranium	xenrich of uranium
628	4-dict	enrich* plant*	xenrich plant
629	4-dict	enrich* uranium	xenrich uranium
630	4-dict	enrich* white flour	xenrich white flour
631	4-dict	nuclear enrich*	nuclear xenrich
632	4-dict	uranium enrich*	uranium xenrich
633	4-dict	enrichment program*	xenrichment program
634	4-dict	adult entertainment	adult xentertainment
635	4-dict	entertainment industr*	xentertainment industry
636	4-dict	entertainment lawyer	xentertainment lawyer
637	4-dict	essential fatty acid*	xessential fatty acid
638	4-dict	essential service*	xessential service
639	4-dict	essential surger*	xessential surger
640	4-dict	not essential	not xessential
641	4-dict	poor self esteem	poor self xesteem
642	4-dict	excellency	xexcellency
643	4-dict	life expectanc*	life xexpectancy
644	4-dict	extreme adventur*	xextreme adventure
645	4-dict	fail* to	fail to x
646	4-dict	fail* effort*	failed xeffort
647	4-dict	book fair*	book xfair
648	4-dict	fair amount*	xfair amount
649	4-dict	fair bit*	xfair bit
650	4-dict	fair chance*	xfair chance
651	4-dict	fair number*	xfair number
652	4-dict	fair to say	xfair to say
653	4-dict	fair trade	xfair trade
654	4-dict	science fair*	science xfair
655	4-dict	the fair	the xfair
656	4-dict	world* fair	world xfair
657	4-dict	los* faith	lose xfaith
658	4-dict	false teeth	xfalse teeth
659	4-dict	flip top	xflip top
660	4-dict	floppy disk*	xfloppy disk
661	4-dict	aluminum foil	aluminum xfoil
662	4-dict	gold foil	gold xfoil
663	4-dict	the foil	the xfoil
664	4-dict	tin foil	tin xfoil
665	4-dict	carry forward	carry xforward
666	4-dict	fast forward*	fast xforward
667	4-dict	forward artillery	xforward artillery
668	4-dict	forward base*	xforward base
669	4-dict	forward operat*	xforward operat
670	4-dict	lean* forward	lean xforward
671	4-dict	to forward	to xforward
672	4-dict	foster child*	xfoster child
673	4-dict	foster home*	xfoster home
674	4-dict	foster mother*	xfoster mother
675	4-dict	foster parent*	xfoster parent
676	4-dict	free market*	xfree market
677	4-dict	free trade	xfree trade
678	4-dict	free vote*	xfree vote
679	4-dict	tax free	tax xfree
680	4-dict	friendly fire	xfriendly fire
681	4-dict	gold stock*	xgold stocks
682	4-dict	gold teeth	xgold teeth
683	4-dict	golden retriever*	xgolden retriever
684	4-dict	a good [anynumber]	a xgood #
685	4-dict	any good	any xgood
686	4-dict	baked good	baked xgood
687	4-dict	for good	for xgood
688	4-dict	good chance	xgood chance
689	4-dict	good grief	xgood grief
690	4-dict	good shot	good xshot
691	4-dict	more harm than good	more harm than xgood
692	4-dict	oh my goodness	oh my xgoodness
693	4-dict	fall from grace	fall from xgrace
694	4-dict	[anynumber] grand	# xgrand
695	4-dict	grand jury	xgrand jury
696	4-dict	grand theft	xgrand theft
697	4-dict	grand total	xgrand total
698	4-dict	gravel	xgravel
699	4-dict	allah is great	allah is xgreat
700	4-dict	god is great	god is xgreat
701	4-dict	great amount*	xgreat amount
702	4-dict	great aunt*	xgreat aunt
703	4-dict	great big	xgreat big
704	4-dict	great danger	xgreat danger
705	4-dict	great deal*	xgreat deal
706	4-dict	great degree*	xgreat degree
707	4-dict	great difficulty	xgreat difficulty
708	4-dict	great disappointment	xgreat disappointment
709	4-dict	great disservice	xgreat disservice
710	4-dict	great divide*	xgreat divide
711	4-dict	great escape*	xgreat escape
712	4-dict	great evil*	xgreat evil
713	4-dict	great failure*	xgreat failure
714	4-dict	great fear*	xgreat fear
715	4-dict	great gamble*	xgreat gamble
716	4-dict	great grandchildren*	xgreat grandchildren
717	4-dict	great granddaughter*	xgreat granddaughter
718	4-dict	great grandfather*	xgreat grandfather
719	4-dict	great grandmother*	xgreat grandmother
720	4-dict	great grandson*	xgreat grandson
721	4-dict	great great aunt*	xgreat xgreat aunt
722	4-dict	great great grand*	xgreat xgreat grand
723	4-dict	great great uncle*	xgreat xgreat uncle
724	4-dict	great harm*	xgreat harm
725	4-dict	great loss*	xgreat loss
726	4-dict	great offence*	xgreat offence
727	4-dict	great pains	xgreat pains
728	4-dict	great paradox*	xgreat paradox
729	4-dict	great risk*	xgreat risk
730	4-dict	great sacrific*	xgreat sacrifice
731	4-dict	great sadness	xgreat sadness
732	4-dict	great uncle*	xgreat uncle
733	4-dict	great villain*	xgreat villain
734	4-dict	greeting card*	xgreeting card
735	4-dict	female grizzly	female xgrizzly
736	4-dict	grizzly bear*	xgrizzly bear
737	4-dict	grizzly habitat	xgrizzly habitat
738	4-dict	grizzly territory	xgrizzly territory
739	4-dict	male grizzly	male xgrizzly
740	4-dict	gross domestic product	xgross domestic product
741	4-dict	gross revenue*	xgross revenue
742	4-dict	gross ton*	xgross ton
743	4-dict	gross weight*	xgross weight
744	4-dict	hang* by a thread	hang by a thread
745	4-dict	hard drive*	xhard drive
746	4-dict	love hate	xlove xhate
747	4-dict	high* point*	high point
748	4-dict	high* rank*	high rank
749	4-dict	high* regard	high regard
750	4-dict	high* expectation*	high expectation
751	4-dict	honor guard*	xhonor guard
752	4-dict	honour guard*	xhonour guard
753	4-dict	your honor	your xhonor
754	4-dict	your honour	your xhonour
755	4-dict	buried all hope	buried all xhope
756	4-dict	bury all hope	bury all xhope
757	4-dict	death of hope	death of xhope
758	4-dict	devoid of hope	devoid of xhope
759	4-dict	false hope*	false xhope
760	4-dict	hope fades	xhope fades
761	4-dict	hope fading	xhope fading
762	4-dict	hope not	xhope not
763	4-dict	hope said	xhope said
764	4-dict	hope was abandoned	xhope was abandoned
765	4-dict	hope was dashed	xhope was dashed
766	4-dict	hope was running out	xhope was running out
767	4-dict	hope was scarce	xhope was scarce
768	4-dict	kill* all hope	kill all xhope
769	4-dict	los* all hope	lose all xhope
770	4-dict	los* hope*	lose xhope
771	4-dict	scant hope*	scant xhope
772	4-dict	faint hope clause	xfaint xhope clause
773	4-dict	faint hope*	faint xhope
774	4-dict	optical illusion*	optical xillusion
775	4-dict	impossible to	impossible to x
776	4-dict	tax incentive*	tax xincentive
777	4-dict	counter insurgenc*	counter xinsurgency
778	4-dict	analyze intelligence	analyze xintelligence
779	4-dict	artificial intelligence	xartificial xintelligence
780	4-dict	british intelligence	british xintelligence
781	4-dict	canadian intelligence	canadian xintelligence
782	4-dict	counter intelligence	counter xintelligence
783	4-dict	criminal intelligence	xcriminal xintelligence
784	4-dict	defence intelligence	defence xintelligence
785	4-dict	defense intelligence	defense xintelligence
786	4-dict	domestic intelligence	domestic xintelligence
787	4-dict	foreign intelligence	foreign xintelligence
788	4-dict	intelligence agen*	xintelligence agency
789	4-dict	intelligence all*	xintelligence ally
790	4-dict	intelligence analy*	xintelligence analysis
791	4-dict	intelligence chief*	xintelligence chief
792	4-dict	intelligence document*	xintelligence document
793	4-dict	intelligence expert*	xintelligence expert
794	4-dict	intelligence gathering	xintelligence gathering
795	4-dict	intelligence information	xintelligence information
796	4-dict	intelligence network*	xintelligence network
797	4-dict	intelligence officer*	xintelligence officer
798	4-dict	intelligence official*	xintelligence official
799	4-dict	intelligence operations	xintelligence operations
800	4-dict	intelligence report*	xintelligence report
801	4-dict	intelligence service*	xintelligence service
802	4-dict	intelligence unit*	xintelligence unit
803	4-dict	intelligent design	xintelligent design
804	4-dict	military intelligence	military xintelligence
805	4-dict	parliamentary intelligence	parliamentary xintelligence
806	4-dict	police intelligence	police xintelligence
807	4-dict	pre war intelligence	pre war xintelligence
808	4-dict	rcmp intelligence	rcmp xintelligence
809	4-dict	security intelligence	security xintelligence
810	4-dict	source of intelligence	source of xintelligence
811	4-dict	united states intelligence	united states xintelligence
812	4-dict	isolated incident*	xisolated incident
813	4-dict	kiss of death	xkiss of death
814	4-dict	kiss* goodbye	xkiss goodbye
815	4-dict	kiss* them goodbye	xkiss them goodbye
816	4-dict	lack of a	lack ofa x
817	4-dict	lack of	lack of x
818	4-dict	lack* the	lack the x
819	4-dict	lack* in	lack in x
820	4-dict	lack*	lack x
821	4-dict	not at liberty	not at xliberty
822	4-dict	all you like	all you xlike
823	4-dict	as you like	as you xlike
824	4-dict	do you like	do you xlike
825	4-dict	god like	god xlike
826	4-dict	like a	xlike a
827	4-dict	more like	more xlike
828	4-dict	not you like	not you xlike
829	4-dict	something like	something xlike
830	4-dict	thank you like	thank you xlike
831	4-dict	the likes of	the xlikes of
832	4-dict	treat* you like	treat you xlike
833	4-dict	was like	was xlike
834	4-dict	whether you like	whether you xlike
